V (Volts) 	 I (mAmps)
0.0885278062	0.02217680919
0.08791088769	0.04435361837
0.1566973016	0.04435361837
0.2347374931	0.05544202296
0.3106184698	0.04435361837
0.3908178761	0.05544202296
0.4642311788	0.06653042756
0.5435052074	0.06653042756
0.6215453989	0.06653042756
0.6995855904	0.06653042756
0.7770088634	0.07761883215
0.8547405957	0.07761883215
0.9321638687	0.07761883215
1.024701645	0.07761883215
1.103975674	0.08870723674
1.178622813	0.09979564134
1.256663005	0.08870723674
1.330693226	0.09979564134
1.408424959	0.09979564134
1.484305935	0.09979564134
1.562963045	0.1108840459
1.641003237	0.1108840459
1.718118051	0.1219724505
1.79307365	0.1219724505
1.872039219	0.1219724505
1.951313247	0.1219724505
2.026577306	0.1330608551
2.104925956	0.1219724505
2.184199985	0.1219724505
2.26069788	0.1330608551
2.33935499	0.1552376643
2.425723582	0.1995912827
2.480937788	0.3215637332
2.520420573	0.5544202296
2.548181906	0.8205419399
2.570699431	1.119928864
2.586122394	1.419315788
2.603396113	1.729791116
2.620669831	2.062443254
2.632699742	2.384006987
2.644729653	2.72774753
2.657376482	3.049311263
2.669406393	3.381963401
2.680819386	3.725703943
2.691923919	4.08053289
2.701177696	4.424273433
2.712590689	4.768013975
2.723695222	5.122842922
2.736342051	5.566379106
2.744053533	5.887942839
2.75361577	6.25386019
