Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.73
Upper Discriminator:,731
Lower Discriminator:,591
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 17, 2025, 03:04:02
End Time:,February 17, 2025, 03:05:44
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,36,38,377,5,0,36
2,96,206,13639,-348,3,150
3,299,300,271,6,0,299

Channel Data:
Channel,Energy,Counts
0,,129
1,,124
2,,128
3,,117
4,,100
5,,129
6,,119
7,,120
8,,141
9,,114
10,,110
11,,122
12,,126
13,,113
14,,114
15,,125
16,,127
17,,114
18,,117
19,,113
20,,139
21,,124
22,,119
23,,126
24,,103
25,,133
26,,132
27,,126
28,,112
29,,118
30,,120
31,,114
32,,124
33,,128
34,,118
35,,112
36,,134
37,,126
38,,117
39,,129
40,,118
41,,114
42,,113
43,,115
44,,135
45,,124
46,,90
47,,112
48,,115
49,,137
50,,117
51,,115
52,,121
53,,104
54,,114
55,,130
56,,116
57,,111
58,,116
59,,123
60,,116
61,,122
62,,126
63,,124
64,,105
65,,115
66,,128
67,,123
68,,116
69,,136
70,,121
71,,124
72,,119
73,,115
74,,115
75,,145
76,,118
77,,133
78,,123
79,,116
80,,128
81,,135
82,,133
83,,115
84,,123
85,,123
86,,126
87,,117
88,,111
89,,134
90,,110
91,,134
92,,96
93,,121
94,,113
95,,118
96,,121
97,,136
98,,123
99,,131
100,,124
101,,119
102,,124
103,,138
104,,116
105,,131
106,,137
107,,138
108,,115
109,,130
110,,134
111,,145
112,,122
113,,135
114,,113
115,,128
116,,115
117,,121
118,,115
119,,128
120,,109
121,,123
122,,112
123,,148
124,,142
125,,125
126,,117
127,,112
128,,97
129,,112
130,,118
131,,145
132,,125
133,,138
134,,108
135,,118
136,,118
137,,118
138,,118
139,,127
140,,110
141,,116
142,,113
143,,106
144,,123
145,,112
146,,114
147,,129
148,,140
149,,122
150,,113
151,,107
152,,115
153,,110
154,,124
155,,130
156,,134
157,,125
158,,95
159,,111
160,,135
161,,141
162,,134
163,,132
164,,108
165,,120
166,,109
167,,110
168,,125
169,,112
170,,111
171,,143
172,,122
173,,137
174,,134
175,,135
176,,123
177,,128
178,,114
179,,118
180,,125
181,,117
182,,132
183,,129
184,,111
185,,114
186,,105
187,,123
188,,110
189,,139
190,,110
191,,129
192,,128
193,,122
194,,131
195,,121
196,,134
197,,109
198,,143
199,,128
200,,127
201,,114
202,,111
203,,129
204,,135
205,,117
206,,137
207,,131
208,,107
209,,113
210,,122
211,,133
212,,127
213,,130
214,,87
215,,106
216,,126
217,,139
218,,128
219,,116
220,,109
221,,127
222,,131
223,,116
224,,123
225,,125
226,,125
227,,116
228,,118
229,,112
230,,116
231,,127
232,,120
233,,119
234,,139
235,,132
236,,113
237,,116
238,,130
239,,119
240,,129
241,,124
242,,118
243,,121
244,,135
245,,112
246,,114
247,,113
248,,119
249,,104
250,,139
251,,124
252,,123
253,,145
254,,136
255,,126
256,,113
257,,119
258,,114
259,,107
260,,124
261,,118
262,,126
263,,128
264,,113
265,,123
266,,132
267,,118
268,,133
269,,144
270,,134
271,,125
272,,115
273,,134
274,,125
275,,120
276,,130
277,,129
278,,138
279,,128
280,,111
281,,119
282,,110
283,,125
284,,135
285,,113
286,,132
287,,113
288,,120
289,,121
290,,125
291,,138
292,,118
293,,128
294,,119
295,,125
296,,113
297,,125
298,,119
299,,144
300,,127
301,,134
302,,106
303,,119
304,,99
305,,117
306,,125
307,,135
308,,122
309,,96
310,,125
311,,114
312,,125
313,,116
314,,129
315,,121
316,,133
317,,123
318,,130
319,,115
320,,125
321,,125
322,,127
323,,127
324,,127
325,,122
326,,127
327,,106
328,,105
329,,137
330,,103
331,,107
332,,120
333,,120
334,,123
335,,131
336,,128
337,,117
338,,128
339,,122
340,,132
341,,119
342,,112
343,,114
344,,125
345,,140
346,,96
347,,121
348,,129
349,,123
350,,117
351,,132
352,,113
353,,98
354,,135
355,,96
356,,135
357,,129
358,,126
359,,117
360,,141
361,,109
362,,113
363,,139
364,,134
365,,104
366,,120
367,,117
368,,115
369,,137
370,,118
371,,123
372,,122
373,,138
374,,120
375,,123
376,,120
377,,136
378,,135
379,,122
380,,122
381,,121
382,,132
383,,141
384,,103
385,,127
386,,124
387,,108
388,,134
389,,133
390,,98
391,,118
392,,125
393,,104
394,,134
395,,119
396,,117
397,,124
398,,128
399,,115
400,,123
401,,117
402,,135
403,,125
404,,115
405,,113
406,,92
407,,98
408,,130
409,,134
410,,112
411,,119
412,,131
413,,113
414,,118
415,,122
416,,129
417,,112
418,,125
419,,122
420,,129
421,,132
422,,134
423,,130
424,,112
425,,125
426,,108
427,,121
428,,127
429,,132
430,,110
431,,133
432,,148
433,,124
434,,116
435,,133
436,,133
437,,121
438,,122
439,,125
440,,149
441,,125
442,,115
443,,129
444,,113
445,,115
446,,115
447,,125
448,,144
449,,134
450,,135
451,,106
452,,119
453,,126
454,,121
455,,134
456,,112
457,,124
458,,122
459,,127
460,,128
461,,121
462,,125
463,,122
464,,137
465,,107
466,,130
467,,114
468,,124
469,,124
470,,125
471,,110
472,,117
473,,109
474,,123
475,,129
476,,116
477,,116
478,,134
479,,118
480,,132
481,,118
482,,106
483,,134
484,,117
485,,134
486,,111
487,,115
488,,127
489,,141
490,,130
491,,116
492,,149
493,,124
494,,122
495,,135
496,,94
497,,138
498,,117
499,,115
500,,117
501,,132
502,,134
503,,135
504,,126
505,,112
506,,117
507,,110
508,,113
509,,133
510,,126
511,,131
512,,130
513,,112
514,,103
515,,104
516,,115
517,,135
518,,123
519,,111
520,,141
521,,112
522,,138
523,,120
524,,132
525,,124
526,,103
527,,112
528,,130
529,,127
530,,146
531,,118
532,,142
533,,111
534,,119
535,,106
536,,124
537,,138
538,,134
539,,119
540,,110
541,,122
542,,132
543,,120
544,,112
545,,133
