Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.73
Upper Discriminator:,731
Lower Discriminator:,591
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 17, 2025, 03:05:56
End Time:,February 17, 2025, 03:07:39
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,36,38,365,-1,0,37
2,96,206,13550,-548,4,151
3,299,300,237,-6,0,299

Channel Data:
Channel,Energy,Counts
0,,95
1,,132
2,,106
3,,135
4,,121
5,,126
6,,137
7,,135
8,,107
9,,118
10,,119
11,,142
12,,120
13,,127
14,,138
15,,138
16,,126
17,,116
18,,142
19,,119
20,,144
21,,120
22,,125
23,,120
24,,110
25,,115
26,,137
27,,129
28,,112
29,,128
30,,127
31,,116
32,,135
33,,134
34,,120
35,,132
36,,99
37,,124
38,,142
39,,114
40,,116
41,,100
42,,116
43,,130
44,,117
45,,122
46,,131
47,,121
48,,116
49,,127
50,,109
51,,114
52,,127
53,,113
54,,141
55,,107
56,,126
57,,95
58,,112
59,,127
60,,140
61,,139
62,,164
63,,121
64,,144
65,,132
66,,135
67,,145
68,,107
69,,134
70,,102
71,,131
72,,114
73,,126
74,,122
75,,131
76,,154
77,,114
78,,128
79,,136
80,,120
81,,114
82,,134
83,,95
84,,119
85,,118
86,,120
87,,111
88,,131
89,,109
90,,108
91,,123
92,,136
93,,131
94,,106
95,,141
96,,108
97,,129
98,,127
99,,119
100,,124
101,,128
102,,115
103,,116
104,,109
105,,107
106,,109
107,,124
108,,107
109,,152
110,,124
111,,108
112,,128
113,,121
114,,117
115,,130
116,,97
117,,143
118,,139
119,,117
120,,128
121,,134
122,,137
123,,140
124,,125
125,,125
126,,126
127,,109
128,,119
129,,114
130,,126
131,,122
132,,120
133,,125
134,,110
135,,119
136,,101
137,,116
138,,137
139,,138
140,,124
141,,115
142,,136
143,,145
144,,121
145,,123
146,,104
147,,136
148,,103
149,,122
150,,110
151,,119
152,,110
153,,110
154,,121
155,,118
156,,119
157,,122
158,,112
159,,106
160,,150
161,,119
162,,111
163,,116
164,,116
165,,142
166,,118
167,,149
168,,113
169,,118
170,,122
171,,127
172,,128
173,,124
174,,118
175,,118
176,,121
177,,116
178,,122
179,,112
180,,127
181,,133
182,,131
183,,112
184,,116
185,,121
186,,132
187,,124
188,,117
189,,116
190,,143
191,,120
192,,127
193,,121
194,,134
195,,135
196,,116
197,,125
198,,113
199,,105
200,,112
201,,137
202,,132
203,,118
204,,129
205,,110
206,,139
207,,140
208,,112
209,,135
210,,137
211,,108
212,,131
213,,122
214,,136
215,,125
216,,125
217,,144
218,,141
219,,122
220,,112
221,,145
222,,129
223,,95
224,,120
225,,122
226,,120
227,,111
228,,140
229,,109
230,,135
231,,135
232,,151
233,,103
234,,136
235,,116
236,,114
237,,133
238,,106
239,,110
240,,127
241,,121
242,,135
243,,119
244,,118
245,,117
246,,105
247,,110
248,,109
249,,113
250,,134
251,,120
252,,109
253,,136
254,,122
255,,130
256,,122
257,,132
258,,112
259,,137
260,,114
261,,103
262,,113
263,,124
264,,136
265,,112
266,,113
267,,133
268,,121
269,,149
270,,120
271,,118
272,,129
273,,122
274,,113
275,,118
276,,141
277,,126
278,,118
279,,127
280,,122
281,,126
282,,115
283,,125
284,,144
285,,99
286,,121
287,,114
288,,121
289,,108
290,,110
291,,128
292,,122
293,,127
294,,122
295,,106
296,,123
297,,141
298,,126
299,,115
300,,122
301,,130
302,,104
303,,144
304,,102
305,,120
306,,132
307,,122
308,,128
309,,111
310,,106
311,,105
312,,114
313,,140
314,,127
315,,109
316,,95
317,,126
318,,137
319,,137
320,,127
321,,116
322,,131
323,,124
324,,128
325,,124
326,,132
327,,108
328,,127
329,,119
330,,123
331,,121
332,,104
333,,114
334,,117
335,,97
336,,140
337,,132
338,,117
339,,128
340,,114
341,,117
342,,107
343,,98
344,,138
345,,115
346,,128
347,,136
348,,141
349,,110
350,,131
351,,126
352,,129
353,,135
354,,127
355,,133
356,,144
357,,119
358,,127
359,,115
360,,132
361,,131
362,,132
363,,120
364,,131
365,,125
366,,138
367,,125
368,,136
369,,143
370,,125
371,,129
372,,148
373,,124
374,,123
375,,113
376,,116
377,,128
378,,100
379,,118
380,,140
381,,136
382,,132
383,,103
384,,116
385,,119
386,,123
387,,127
388,,113
389,,118
390,,122
391,,133
392,,101
393,,146
394,,125
395,,115
396,,128
397,,114
398,,113
399,,117
400,,117
401,,112
402,,118
403,,123
404,,108
405,,117
406,,127
407,,110
408,,103
409,,115
410,,127
411,,120
412,,110
413,,133
414,,130
415,,123
416,,104
417,,132
418,,138
419,,131
420,,124
421,,114
422,,103
423,,103
424,,137
425,,97
426,,127
427,,128
428,,125
429,,110
430,,132
431,,117
432,,119
433,,135
434,,114
435,,113
436,,120
437,,107
438,,109
439,,107
440,,120
441,,105
442,,118
443,,127
444,,126
445,,117
446,,135
447,,149
448,,110
449,,109
450,,133
451,,110
452,,118
453,,140
454,,122
455,,116
456,,121
457,,132
458,,130
459,,126
460,,120
461,,112
462,,127
463,,136
464,,121
465,,128
466,,156
467,,130
468,,126
469,,100
470,,124
471,,129
472,,138
473,,139
474,,123
475,,119
476,,121
477,,106
478,,96
479,,128
480,,122
481,,116
482,,125
483,,131
484,,129
485,,106
486,,111
487,,115
488,,131
489,,110
490,,137
491,,124
492,,129
493,,145
494,,138
495,,111
496,,145
497,,133
498,,110
499,,140
500,,128
501,,108
502,,109
503,,117
504,,100
505,,110
506,,110
507,,116
508,,116
509,,128
510,,123
511,,115
512,,116
513,,123
514,,127
515,,129
516,,102
517,,125
518,,127
519,,103
520,,141
521,,137
522,,132
523,,120
524,,113
525,,109
526,,124
527,,126
528,,136
529,,115
530,,118
531,,104
532,,102
533,,136
534,,126
535,,109
536,,131
537,,110
538,,136
539,,129
540,,126
541,,129
542,,132
543,,137
544,,130
545,,126
546,,119
547,,108
548,,121
549,,134
550,,122
551,,123
552,,136
553,,121
554,,127
555,,116
556,,130
557,,111
558,,130
559,,110
560,,122
561,,110
562,,120
563,,124
564,,108
565,,129
566,,122
567,,111
568,,121
569,,109
570,,120
571,,132
572,,117
573,,128
574,,120
575,,135
576,,125
577,,126
