Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.73
Upper Discriminator:,731
Lower Discriminator:,591
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 17, 2025, 02:59:58
End Time:,February 17, 2025, 03:03:22
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,36,38,731,22,0,37
2,96,206,27295,483,3,150
3,299,300,505,1,0,299

Channel Data:
Channel,Energy,Counts
0,,226
1,,272
2,,246
3,,250
4,,235
5,,262
6,,252
7,,243
8,,212
9,,220
10,,230
11,,266
12,,232
13,,276
14,,235
15,,246
16,,239
17,,256
18,,256
19,,272
20,,232
21,,249
22,,259
23,,219
24,,248
25,,248
26,,249
27,,231
28,,274
29,,255
30,,248
31,,266
32,,254
33,,240
34,,260
35,,222
36,,236
37,,247
38,,248
39,,221
40,,238
41,,243
42,,232
43,,249
44,,230
45,,253
46,,258
47,,261
48,,276
49,,255
50,,255
51,,247
52,,266
53,,242
54,,236
55,,264
56,,254
57,,225
58,,266
59,,231
60,,269
61,,260
62,,250
63,,241
64,,255
65,,230
66,,232
67,,240
68,,264
69,,245
70,,219
71,,253
72,,252
73,,233
74,,237
75,,239
76,,267
77,,233
78,,237
79,,229
80,,245
81,,244
82,,264
83,,233
84,,260
85,,285
86,,222
87,,276
88,,253
89,,255
90,,262
91,,257
92,,265
93,,222
94,,232
95,,255
96,,243
97,,243
98,,247
99,,276
100,,249
101,,237
102,,236
103,,254
104,,243
105,,232
106,,234
107,,241
108,,247
109,,252
110,,275
111,,268
112,,217
113,,242
114,,249
115,,242
116,,250
117,,249
118,,246
119,,253
120,,218
121,,222
122,,272
123,,246
124,,225
125,,251
126,,273
127,,273
128,,245
129,,265
130,,241
131,,250
132,,240
133,,243
134,,255
135,,247
136,,237
137,,213
138,,223
139,,251
140,,244
141,,257
142,,232
143,,258
144,,261
145,,240
146,,232
147,,292
148,,247
149,,251
150,,256
151,,224
152,,213
153,,233
154,,270
155,,265
156,,245
157,,238
158,,248
159,,254
160,,258
161,,260
162,,262
163,,268
164,,258
165,,223
166,,247
167,,240
168,,224
169,,249
170,,257
171,,242
172,,219
173,,245
174,,251
175,,249
176,,243
177,,229
178,,237
179,,257
180,,267
181,,244
182,,267
183,,225
184,,259
185,,245
186,,276
187,,228
188,,247
189,,250
190,,256
191,,217
192,,213
193,,231
194,,251
195,,242
196,,221
197,,244
198,,222
199,,240
200,,236
201,,267
202,,274
203,,246
204,,264
205,,237
206,,233
207,,243
208,,282
209,,255
210,,250
211,,218
212,,251
213,,244
214,,267
215,,247
216,,275
217,,250
218,,229
219,,256
220,,227
221,,248
222,,248
223,,261
224,,248
225,,245
226,,252
227,,232
228,,286
229,,239
230,,235
231,,253
232,,258
233,,245
234,,272
235,,290
236,,257
237,,273
238,,227
239,,233
240,,233
241,,248
242,,246
243,,229
244,,240
245,,250
246,,253
247,,242
248,,261
249,,286
250,,277
251,,259
252,,267
253,,262
254,,217
255,,245
256,,224
257,,247
258,,229
259,,272
260,,275
261,,270
262,,246
263,,252
264,,233
265,,262
266,,248
267,,243
268,,239
269,,269
270,,238
271,,269
272,,260
273,,224
274,,231
275,,264
276,,239
277,,242
278,,247
279,,245
280,,229
281,,239
282,,238
283,,265
284,,224
285,,216
286,,239
287,,233
288,,264
289,,268
290,,285
291,,244
292,,241
293,,256
294,,263
295,,279
296,,227
297,,251
298,,249
299,,286
300,,219
301,,254
302,,242
303,,253
304,,266
305,,241
306,,240
307,,240
308,,242
309,,259
310,,249
311,,212
312,,252
313,,230
314,,225
315,,268
316,,235
317,,241
318,,248
319,,238
320,,270
321,,240
322,,260
323,,241
324,,242
325,,239
326,,219
327,,242
328,,242
329,,239
330,,261
331,,238
332,,235
333,,268
334,,269
335,,253
336,,246
337,,249
338,,234
339,,222
340,,248
341,,241
342,,225
343,,233
344,,239
345,,259
346,,224
347,,277
348,,258
349,,258
350,,225
351,,239
352,,242
353,,244
354,,223
355,,242
356,,260
357,,256
358,,232
359,,230
360,,264
361,,233
362,,224
363,,251
364,,260
365,,237
366,,278
367,,265
368,,251
369,,260
370,,229
371,,246
372,,254
373,,259
374,,228
375,,261
376,,261
377,,255
378,,252
379,,236
380,,243
381,,240
382,,213
383,,254
384,,256
385,,234
386,,250
387,,259
388,,237
389,,259
390,,235
391,,250
392,,238
393,,250
394,,220
395,,240
396,,232
397,,229
398,,237
399,,253
400,,243
401,,266
402,,252
403,,240
404,,256
405,,228
406,,243
407,,256
408,,209
409,,269
410,,222
411,,225
412,,279
413,,257
414,,206
415,,244
416,,250
417,,237
418,,249
419,,251
420,,244
421,,234
422,,279
423,,213
424,,252
425,,226
426,,234
427,,248
428,,239
429,,223
430,,211
431,,245
432,,240
433,,255
434,,258
435,,267
436,,249
437,,234
438,,267
439,,265
440,,249
441,,234
442,,229
443,,251
444,,240
445,,249
446,,250
447,,211
448,,241
449,,273
450,,256
451,,245
452,,241
453,,265
454,,218
455,,257
456,,246
457,,231
458,,230
459,,255
460,,229
461,,244
462,,240
463,,240
464,,246
465,,236
466,,221
467,,245
468,,247
469,,234
470,,247
471,,265
472,,250
473,,236
474,,251
475,,225
476,,239
477,,239
478,,252
479,,242
480,,261
481,,229
482,,254
483,,250
484,,256
485,,253
486,,276
487,,252
488,,246
489,,265
490,,235
491,,237
492,,254
493,,233
494,,266
495,,267
496,,243
497,,233
498,,235
499,,251
500,,234
501,,284
502,,246
503,,228
504,,234
505,,252
506,,288
507,,232
508,,230
509,,249
510,,231
511,,243
512,,246
513,,256
514,,236
515,,231
516,,234
517,,262
518,,236
519,,244
520,,264
521,,228
522,,244
523,,256
524,,251
525,,245
526,,234
527,,282
528,,237
529,,247
530,,239
531,,228
532,,241
533,,232
534,,247
535,,261
536,,248
537,,272
538,,231
539,,219
540,,250
541,,260
542,,243
543,,234
544,,248
545,,256
546,,260
547,,222
548,,265
549,,233
550,,228
551,,250
552,,256
553,,223
554,,237
555,,244
556,,236
557,,256
558,,265
559,,245
560,,240
561,,264
562,,249
563,,233
564,,247
565,,236
566,,257
567,,257
568,,253
569,,228
570,,245
571,,262
572,,237
573,,252
574,,235
575,,264
576,,251
577,,248
578,,251
579,,227
580,,250
581,,235
582,,239
583,,237
584,,287
585,,234
586,,251
587,,244
588,,256
589,,208
590,,242
591,,262
592,,262
593,,250
594,,246
595,,234
596,,230
597,,228
598,,280
599,,245
600,,231
601,,229
602,,254
603,,260
604,,250
605,,223
606,,248
607,,276
608,,269
609,,230
610,,239
611,,267
612,,261
613,,260
614,,224
615,,225
616,,262
617,,238
618,,248
619,,216
620,,256
621,,232
622,,239
623,,276
624,,247
625,,248
626,,254
627,,246
628,,238
629,,224
630,,233
631,,240
632,,266
633,,234
634,,249
635,,259
636,,224
637,,248
638,,257
639,,255
640,,225
641,,240
642,,238
643,,229
644,,245
645,,256
646,,245
647,,244
648,,212
649,,260
650,,238
651,,242
652,,244
653,,248
654,,262
655,,242
656,,213
657,,256
658,,205
659,,250
660,,251
661,,245
662,,249
663,,255
664,,276
665,,268
666,,243
667,,238
668,,236
669,,216
670,,251
671,,223
672,,261
673,,247
674,,234
675,,258
676,,254
677,,221
678,,246
679,,267
680,,233
681,,241
682,,272
683,,248
684,,243
685,,231
686,,257
687,,258
688,,243
689,,233
690,,229
691,,245
692,,232
693,,258
694,,256
695,,208
696,,247
697,,260
698,,240
699,,218
700,,223
701,,258
702,,245
703,,232
704,,258
705,,254
706,,229
707,,251
708,,234
709,,239
710,,223
711,,229
712,,252
713,,246
714,,255
715,,248
716,,272
717,,262
718,,252
719,,250
720,,243
721,,282
722,,262
723,,234
724,,222
725,,227
726,,226
727,,224
728,,224
729,,271
730,,255
731,,241
732,,264
733,,265
734,,214
735,,250
736,,240
737,,234
738,,236
739,,238
740,,247
741,,260
742,,236
743,,259
744,,243
745,,242
746,,254
747,,234
748,,245
749,,230
750,,248
751,,225
752,,231
753,,281
754,,239
755,,259
756,,270
757,,250
758,,239
759,,230
760,,254
761,,249
762,,247
763,,254
764,,242
765,,232
766,,232
767,,211
768,,245
769,,243
770,,263
771,,241
772,,268
773,,231
774,,262
775,,246
776,,226
777,,262
778,,249
779,,249
780,,240
781,,252
782,,246
783,,247
784,,231
785,,260
786,,267
787,,216
788,,273
789,,234
790,,276
791,,246
792,,236
793,,233
794,,211
795,,225
796,,241
797,,246
798,,246
799,,243
800,,247
801,,255
802,,241
803,,254
804,,258
805,,241
806,,225
807,,277
808,,233
809,,244
810,,238
811,,223
812,,235
813,,263
814,,237
815,,245
816,,252
817,,263
818,,247
819,,269
820,,234
821,,246
822,,228
823,,258
824,,232
825,,237
826,,247
827,,234
828,,235
829,,256
830,,242
831,,256
832,,256
833,,228
834,,235
835,,258
836,,239
837,,251
838,,240
839,,247
840,,244
841,,275
842,,253
843,,229
844,,248
845,,226
846,,250
847,,247
848,,249
849,,219
850,,257
851,,237
852,,252
853,,250
854,,260
855,,265
856,,251
857,,247
858,,230
859,,246
860,,221
861,,251
