Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.73
Upper Discriminator:,731
Lower Discriminator:,591
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 17, 2025, 03:07:58
End Time:,February 17, 2025, 03:08:39
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,36,38,154,12,0,37
2,96,206,5345,238,2,150
3,299,300,104,1,0,299

Channel Data:
Channel,Energy,Counts
0,,54
1,,50
2,,62
3,,49
4,,34
5,,46
6,,44
7,,52
8,,61
9,,56
10,,39
11,,47
12,,49
13,,45
14,,61
15,,57
16,,59
17,,49
18,,67
19,,44
20,,40
21,,46
22,,36
23,,46
24,,48
25,,46
26,,43
27,,55
28,,39
29,,47
30,,44
31,,43
32,,49
33,,50
34,,43
35,,44
36,,43
37,,64
38,,47
39,,25
40,,58
41,,56
42,,42
43,,47
44,,46
45,,55
46,,45
47,,41
48,,47
49,,47
50,,47
51,,45
52,,47
53,,55
54,,46
55,,52
56,,45
57,,46
58,,46
59,,60
60,,48
61,,61
62,,49
63,,52
64,,52
65,,51
66,,49
67,,44
68,,46
69,,39
70,,49
71,,64
72,,53
73,,54
74,,63
75,,53
76,,52
77,,52
78,,49
79,,43
80,,57
81,,42
82,,44
83,,44
84,,51
85,,47
86,,44
87,,51
88,,56
89,,46
90,,42
91,,59
92,,51
93,,46
94,,42
95,,47
96,,41
97,,50
98,,44
99,,48
100,,51
101,,41
102,,54
103,,47
104,,40
105,,44
106,,57
107,,58
108,,46
109,,42
110,,39
111,,51
112,,48
113,,62
114,,49
115,,32
116,,45
117,,45
118,,49
119,,46
120,,51
121,,54
122,,60
123,,47
124,,58
125,,57
126,,52
127,,56
128,,41
129,,36
130,,49
131,,39
132,,52
133,,38
134,,48
135,,50
136,,55
137,,39
138,,40
139,,46
140,,44
141,,49
142,,51
143,,70
144,,49
145,,51
146,,63
147,,59
148,,48
149,,46
150,,50
151,,44
152,,49
153,,52
154,,51
155,,48
156,,40
157,,42
158,,46
159,,53
160,,39
161,,56
162,,47
163,,54
164,,46
165,,48
166,,48
167,,45
168,,64
169,,63
170,,43
171,,54
172,,57
173,,41
174,,43
175,,55
176,,43
177,,45
178,,42
179,,46
180,,47
181,,54
182,,40
183,,49
184,,52
185,,51
186,,39
187,,45
188,,45
189,,29
190,,47
191,,47
192,,39
193,,45
194,,47
195,,52
196,,59
197,,43
198,,60
199,,40
200,,49
201,,54
202,,39
203,,58
204,,40
205,,49
206,,45
207,,49
208,,49
209,,58
210,,57
211,,40
212,,45
213,,35
214,,34
215,,64
216,,49
217,,55
218,,46
219,,52
220,,52
221,,47
222,,60
223,,43
224,,67
225,,47
226,,55
227,,47
228,,48
229,,44
230,,49
231,,46
232,,45
233,,47
234,,47
235,,55
236,,44
237,,44
238,,47
239,,54
240,,64
241,,47
242,,48
243,,36
244,,36
245,,55
246,,44
247,,49
248,,51
249,,37
250,,47
251,,46
