Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,MCS Internal
High Voltage:,650
Conversion Gain:,1024
Coarse Gain:,1
Fine Gain:,1.73
Upper Discriminator:,731
Lower Discriminator:,591
Calibration Coefficients:Elapsed Real Time:,0.0
Elapsed Live Time:,0.0
Start Time:,February 17, 2025, 03:10:14
End Time:,February 17, 2025, 03:10:55
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,36,38,153,2,0,37
2,96,206,5426,-403,3,151
3,299,300,89,-3,0,299

Channel Data:
Channel,Energy,Counts
0,,49
1,,50
2,,65
3,,41
4,,57
5,,54
6,,43
7,,49
8,,52
9,,51
10,,52
11,,48
12,,47
13,,45
14,,56
15,,63
16,,48
17,,53
18,,57
19,,61
20,,49
21,,46
22,,48
23,,59
24,,54
25,,56
26,,46
27,,54
28,,60
29,,46
30,,48
31,,46
32,,41
33,,54
34,,52
35,,53
36,,53
37,,44
38,,56
39,,53
40,,38
41,,44
42,,45
43,,38
44,,55
45,,52
46,,47
47,,58
48,,54
49,,46
50,,45
51,,48
52,,48
53,,51
54,,53
55,,44
56,,43
57,,44
58,,49
59,,49
60,,58
61,,52
62,,40
63,,44
64,,46
65,,53
66,,49
67,,61
68,,59
69,,33
70,,49
71,,52
72,,44
73,,47
74,,37
75,,40
76,,46
77,,46
78,,58
79,,63
80,,47
81,,56
82,,38
83,,44
84,,54
85,,53
86,,40
87,,58
88,,38
89,,40
90,,63
91,,50
92,,53
93,,44
94,,57
95,,60
96,,55
97,,47
98,,46
99,,50
100,,54
101,,47
102,,50
103,,57
104,,59
105,,46
106,,47
107,,60
108,,52
109,,55
110,,51
111,,40
112,,44
113,,32
114,,51
115,,33
116,,65
117,,37
118,,32
119,,46
120,,49
121,,46
122,,46
123,,47
124,,57
125,,45
126,,46
127,,40
128,,40
129,,41
130,,40
131,,57
132,,43
133,,58
134,,49
135,,58
136,,55
137,,42
138,,50
139,,47
140,,52
141,,55
142,,47
143,,51
144,,43
145,,40
146,,54
147,,46
148,,56
149,,47
150,,41
151,,41
152,,45
153,,52
154,,45
155,,52
156,,56
157,,49
158,,52
159,,47
160,,48
161,,39
162,,58
163,,46
164,,45
165,,51
166,,57
167,,48
168,,44
169,,59
170,,39
171,,56
172,,56
173,,42
174,,65
175,,47
176,,57
177,,48
178,,52
179,,45
180,,40
181,,56
182,,55
183,,58
184,,54
185,,52
186,,34
187,,45
188,,49
189,,42
190,,43
191,,49
192,,50
193,,47
194,,64
195,,58
196,,52
197,,42
198,,51
199,,44
200,,43
201,,51
202,,54
203,,44
204,,55
205,,56
206,,53
207,,47
208,,38
209,,40
210,,59
211,,45
212,,42
213,,59
214,,53
215,,47
216,,57
217,,50
218,,57
219,,49
220,,40
221,,47
222,,43
223,,44
224,,54
225,,47
226,,36
227,,41
228,,50
229,,42
230,,45
231,,57
232,,54
233,,48
234,,55
235,,43
236,,43
237,,45
238,,54
239,,54
240,,52
241,,49
242,,43
243,,65
244,,44
245,,48
246,,46
247,,52
248,,60
249,,45
250,,52
251,,40
252,,50
253,,44
254,,48
255,,62
256,,49
257,,40
258,,53
259,,36
260,,51
261,,45
262,,54
263,,47
264,,46
265,,53
266,,44
267,,63
268,,43
269,,46
270,,52
271,,36
272,,52
273,,64
274,,45
275,,47
276,,53
277,,54
278,,44
279,,50
280,,54
281,,43
282,,46
283,,48
284,,46
285,,39
286,,42
287,,51
288,,50
289,,51
290,,52
291,,63
292,,51
293,,64
294,,44
295,,66
296,,49
297,,67
298,,52
299,,46
300,,43
301,,47
302,,59
303,,44
304,,52
305,,48
306,,53
307,,41
308,,53
309,,51
310,,44
311,,45
312,,48
313,,62
314,,45
315,,50
316,,47
317,,51
318,,40
319,,61
320,,41
321,,46
322,,42
323,,48
324,,55
325,,42
326,,50
327,,50
328,,56
329,,62
330,,47
331,,40
332,,47
333,,42
334,,46
335,,43
336,,47
337,,44
338,,51
339,,45
340,,48
341,,48
342,,40
343,,47
344,,50
345,,50
346,,56
347,,36
348,,44
349,,69
350,,34
351,,54
352,,29
353,,40
354,,47
355,,35
356,,53
357,,55
358,,38
359,,51
360,,42
361,,50
362,,44
363,,52
364,,57
365,,55
366,,40
367,,47
368,,52
369,,53
370,,47
371,,51
372,,51
373,,44
374,,54
375,,46
376,,44
377,,50
378,,62
379,,49
380,,54
381,,56
382,,48
383,,50
384,,45
385,,50
386,,58
387,,50
388,,52
389,,49
390,,57
391,,56
392,,51
393,,40
394,,31
395,,62
396,,47
397,,51
398,,39
399,,48
400,,49
401,,45
402,,58
403,,36
404,,43
405,,42
406,,59
407,,46
408,,43
409,,49
410,,54
411,,44
412,,50
413,,51
414,,58
415,,48
416,,58
417,,44
418,,62
419,,47
420,,47
421,,53
422,,49
423,,44
424,,51
425,,49
426,,57
427,,53
428,,51
429,,49
430,,45
431,,54
432,,45
433,,50
434,,50
435,,53
436,,39
437,,54
438,,50
439,,55
440,,41
441,,52
442,,52
443,,47
444,,37
445,,52
446,,33
447,,46
448,,47
449,,46
450,,33
451,,48
452,,53
453,,42
454,,41
455,,61
456,,53
457,,47
458,,57
459,,39
460,,47
461,,51
462,,49
463,,46
464,,45
465,,42
466,,42
467,,43
468,,58
469,,56
470,,43
471,,48
472,,47
473,,53
474,,61
475,,48
476,,46
477,,60
478,,40
479,,51
480,,65
481,,49
482,,43
483,,43
484,,55
485,,37
486,,60
487,,47
488,,55
489,,51
490,,49
491,,45
492,,49
493,,54
494,,53
495,,43
496,,44
497,,45
498,,49
499,,52
500,,55
501,,52
502,,54
503,,40
504,,53
505,,62
506,,41
507,,55
508,,55
509,,46
510,,53
511,,43
512,,55
513,,38
514,,50
515,,59
516,,58
517,,52
518,,48
519,,46
520,,36
521,,43
522,,51
523,,44
524,,61
525,,45
526,,52
527,,57
528,,53
529,,37
530,,47
531,,52
532,,51
533,,45
534,,45
535,,43
536,,42
537,,38
538,,46
539,,52
540,,53
541,,46
542,,47
543,,49
544,,42
545,,44
546,,47
547,,51
548,,45
549,,45
550,,63
551,,60
552,,41
553,,54
554,,43
555,,47
556,,37
557,,38
558,,41
559,,63
560,,30
561,,48
562,,40
563,,35
564,,59
565,,51
566,,40
567,,61
568,,43
569,,49
570,,47
571,,54
572,,54
573,,53
574,,60
575,,47
576,,55
577,,33
578,,57
579,,47
580,,49
581,,55
582,,51
583,,55
584,,60
585,,43
586,,59
587,,65
588,,40
589,,50
590,,48
591,,43
592,,47
593,,50
594,,53
595,,47
596,,51
597,,38
598,,62
599,,46
600,,50
601,,53
602,,55
603,,35
604,,46
605,,45
606,,47
607,,44
608,,41
609,,49
610,,41
611,,43
612,,44
613,,53
614,,41
615,,48
616,,45
617,,53
618,,48
619,,57
620,,43
621,,49
622,,58
623,,45
624,,48
625,,53
626,,43
627,,38
628,,55
629,,57
630,,42
631,,42
632,,48
633,,44
634,,45
635,,54
636,,50
637,,47
638,,50
639,,46
640,,55
641,,53
642,,38
643,,54
644,,54
645,,56
646,,57
647,,60
648,,56
649,,52
650,,52
651,,53
652,,42
653,,46
654,,43
655,,48
656,,43
657,,42
658,,53
659,,51
660,,51
661,,48
662,,40
663,,51
664,,58
665,,50
666,,59
667,,46
668,,53
669,,46
670,,55
671,,48
672,,39
673,,58
674,,54
675,,68
676,,49
677,,48
678,,47
679,,55
680,,45
681,,52
682,,45
683,,58
684,,54
685,,43
686,,55
687,,54
688,,35
689,,39
690,,31
691,,45
692,,46
693,,52
694,,52
695,,53
696,,53
697,,50
698,,30
699,,47
700,,39
701,,35
702,,54
703,,40
704,,48
705,,51
706,,47
707,,40
708,,48
709,,36
710,,44
711,,48
712,,48
713,,61
714,,28
715,,47
716,,43
717,,53
718,,47
719,,42
720,,50
721,,42
722,,37
723,,57
724,,54
725,,39
726,,52
727,,43
728,,46
729,,59
730,,55
731,,37
732,,50
733,,52
734,,52
735,,50
736,,46
737,,60
738,,39
739,,50
740,,43
741,,46
742,,53
743,,49
744,,42
745,,48
746,,46
747,,57
748,,57
749,,52
750,,50
751,,62
752,,48
753,,45
754,,39
755,,41
756,,47
757,,53
758,,48
759,,44
760,,47
761,,57
762,,40
763,,38
764,,47
765,,40
766,,51
767,,54
