V (Volts) 	 I (mAmps)
0.0885278062	0.05544202296
0.08791088769	0.03326521378
0.1563888423	0.04435361837
0.2350459523	0.04435361837
0.3112353883	0.04435361837
0.3917432539	0.04435361837
0.4654650159	0.06653042756
0.5438136666	0.05544202296
0.6233961544	0.06653042756
0.6992771312	0.06653042756
0.7782427005	0.07761883215
0.8544321365	0.07761883215
0.934940002	0.08870723674
1.025627023	0.08870723674
1.103975674	0.08870723674
1.179239732	0.09979564134
1.256663005	0.08870723674
1.331001685	0.09979564134
1.408116499	0.09979564134
1.486156691	0.09979564134
1.563579964	0.1108840459
1.641620155	0.1108840459
1.717809591	0.1108840459
1.793999027	0.1330608551
1.8714223	0.1330608551
1.951313247	0.1330608551
2.025651928	0.1441492597
2.100915986	0.1774144735
2.163224756	0.2772101148
2.207334429	0.4435361837
2.240956488	0.6763926802
2.272727791	0.9979564134
2.298329909	1.286254933
2.318996679	1.574553452
2.338429612	1.873940376
2.357554086	2.184415705
2.374210886	2.483802629
2.392409982	2.794277957
2.409066782	3.115841691
2.422022071	3.437405424
2.438061952	3.770057562
2.453484915	4.08053289
2.468599418	4.391008219
2.481554707	4.723660357
2.49666921	5.056312494
2.512400632	5.400053037
2.524430543	5.699439961
2.537694291	6.032092099
2.554351091	6.442363068
2.569465594	6.786103611
2.579336291	7.129844153
