V (Volts) 	 I (mAmps)
0.08791088769	0.04435361837
0.0885278062	0.03326521378
0.1557719238	0.03326521378
0.2338121153	0.04435361837
0.3133946031	0.05544202296
0.3902009576	0.04435361837
0.4660819344	0.06653042756
0.5438136666	0.06653042756
0.6218538582	0.06653042756
0.6989686719	0.06653042756
0.7773173227	0.08870723674
0.8547405957	0.07761883215
0.933706165	0.08870723674
1.02686086	0.06653042756
1.104284133	0.08870723674
1.180473569	0.09979564134
1.256663005	0.1108840459
1.331618604	0.09979564134
1.407191121	0.09979564134
1.485231313	0.1108840459
1.562037668	0.1219724505
1.641003237	0.1219724505
1.710715028	0.1552376643
1.769630746	0.2550333056
1.811889664	0.4546245883
1.836257945	0.7318347031
1.85507396	1.053398436
1.867720789	1.386050574
1.876049189	1.718702712
1.884686048	2.084620063
1.890546774	2.450537415
1.897949796	2.916250408
1.903810522	3.271079355
1.906895115	3.648085111
1.911213544	4.025090867
1.91707427	4.413185028
1.919233485	4.790190784
1.923243455	5.178284945
1.926636507	5.566379106
1.927253425	5.932296457
1.930029559	6.320390618
1.933422611	6.697396374
1.935581825	7.085490535
1.938357959	7.473584696
1.940517173	7.883855666
1.944218685	8.249773017
1.94606944	8.648955582
1.947920196	9.037049743
1.951313247	9.513851141
1.951930166	9.901945301
1.953472462	10.30112787
