V (Volts) 	 I (mAmps)
0.0885278062	0.03326521378
0.0885278062	0.04435361837
0.1557719238	0.05544202296
0.2350459523	0.05544202296
0.3124692254	0.05544202296
0.3898924984	0.05544202296
0.4651565566	0.06653042756
0.5447390444	0.06653042756
0.6215453989	0.07761883215
0.6986602127	0.06653042756
0.777625782	0.08870723674
0.8531982994	0.07761883215
0.9343230835	0.08870723674
1.025627023	0.08870723674
1.105826429	0.07761883215
1.179548191	0.09979564134
1.257588383	0.09979564134
1.331001685	0.08870723674
1.408424959	0.09979564134
1.486156691	0.1108840459
1.561729208	0.09979564134
1.637301726	0.1330608551
1.701152792	0.2217680919
1.740944035	0.4213593745
1.764695398	0.6985694894
1.781969116	1.009044818
1.795232864	1.341696956
1.809113531	1.674349094
1.81775039	2.02917804
1.824536494	2.384006987
1.831322597	2.749924339
1.840576375	3.182372118
1.847362478	3.559377874
1.853531664	3.925295226
1.860009308	4.280124173
1.868029249	4.657129929
1.872347678	5.034135685
1.876049189	5.422229846
1.881292996	5.765970388
1.885302967	6.142976144
1.889621396	6.519981901
1.894248285	6.896987657
1.898258256	7.262905008
1.902576685	7.662087574
1.907512033	8.028004925
1.911522003	8.416099086
1.917382729	8.793104842
1.918925026	9.181199003
1.923551914	9.6580004
1.926944966	10.01282935
1.931571855	10.40092351
